No,元カテゴリ,食品名,アプリカテゴリ,小分類,アイコン,ふつう内部量,ちょっと内部量,いっぱい内部量,ふつう表示量（子ども向け）,ちょっと倍率,いっぱい倍率,ふつうkcal,ふつうP(g),ふつうF(g),ふつうC(g),栄養値の根拠,参照URL,確度,メモ
1,主食,お米,主食,🍚 主食,🍚,110g,60g,200g,1杯くらい,0.545,1.818,172.0,2.8,0.3,40.8,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,炊飯後
2,主食,とりそぼろごはん,主食,🍚 主食,🍚,お米110g+そぼろ80g,お米60g+そぼろ50g,お米200g+そぼろ150g,1杯くらい,0.58,1.75,360.0,21.0,12.0,43,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,手作り鶏ひき肉のそぼろ
3,主食,食パン,主食,🍚 主食,🍞,10枚切り2枚,1枚,3枚,2枚くらい,0.5,1.5,200.0,7.2,3.5,36.8,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,ペストプライスしあわせのもっちり仕込み
4,主食,チーズ食パン,主食,🍚 主食,🍞,食パン10枚切り2枚+レッドチェダーチーズ2枚,食パン10枚切り1枚+レッドチェダーチーズ1枚,食パン10枚切り3枚+レッドチェダーチーズ3枚,2枚くらい,0.5,1.5,300.0,15.0,13.0,34,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
5,主食,チョコジャム食パン,主食,🍚 主食,🍞,食パン10枚切り2枚+チョコソース＆ジャム,食パン10枚切り1枚+チョコソース＆ジャム,食パン10枚切り3枚+チョコソース＆ジャム,2枚くらい,0.5,1.5,300.0,7.0,7.0,53,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,チョコとジャムはパン一枚あたりの半分ずつで
6,主食,チョコスティックパン,主食,🍚 主食,🍞,2本,1本,3本,2本くらい,0.5,1.5,220.0,5.0,8.0,33,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,パスコ 十勝バターチョコスティック 6本基準
7,主食,菓子パン,主食,🍚 主食,🍞,1個,1/2個,2個,1個くらい,0.5,2.0,350.0,7.0,14.0,49,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,一般的な菓子パン
8,主食,ナン,主食,🍚 主食,🫓,2枚,1枚,3枚,2枚くらい,0.5,1.5,320.0,9.0,6.0,57,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,日本ハムナーン5枚入り
9,主食,クロワッサン,主食,🍚 主食,🥐,1個,1/2個,2個,1個くらい,0.5,2.0,300.0,6.0,17.0,32,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,一般的なお店のクロワッサン（大きめ）
10,主食,ピザ,主食,🍚 主食,🍕,1枚,1/2枚,2枚,1枚くらい,0.5,2.0,142.0,5.0,4.7,19.8,メーカー公式,https://www.nipponham.co.jp/products/processed_foods/bread_pizza/2656/,高,石窯工房®Mini あら挽きソーセージ 3枚入り
11,主食,炊き込みご飯,主食,🍚 主食,🍚,110g,60g,200g,1杯くらい,0.545,1.818,180.0,4.5,1.5,38,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,一般的な鶏ごぼう炊き込みご飯
12,主食,おにぎり,主食,🍚 主食,🍙,110g,60g,170g,1個くらい,0.545,1.545,180.0,4.0,1.5,38,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,一般的な炊き込みご飯系おにぎり
13,主食,玉子おすし,主食,🍚 主食,🍣,4巻,2巻,6巻,2皿くらい,0.5,1.5,240.0,10.0,5.0,39,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,はま寿司うまだし玉子基準
14,主食,オムライス,主食,🍚 主食,🍽️,180g,100g,250g,1杯くらい,0.556,1.389,330.0,12.0,9.0,50,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,手作りケチャップオムライス玉子1個（炒め油ほぼなし）
15,主食,チャーハン,主食,🍚 主食,🍚,180g,100g,250g,1杯くらい,0.556,1.389,300.0,9.0,8.0,49,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,手作りチャーハン（炒め油ほぼなし）
16,主食,麻婆豆腐丼,主食,🍚 主食,🍚,280g,180g,350g,1杯くらい,0.643,1.25,430.0,18.0,14.0,57,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,手作り麻婆豆腐（炒め油ほぼなし）
17,めん,うどん,主食,🍜 めん,🍜,200g,100g,300g,はまっこうどん2杯,0.5,1.5,220.0,6.0,1.0,48,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,具材なし・だしと醤油のスープ込
